,EvsRHE/V,filename,i/mAcm^-2_ECSA
0,0.0,0,0.0
60,1.09667469,20171122_Pd_064_05_CA_C01.mpt,10.136608288105982
60,0.696739688,20171123_Pd_065_05_CA_C01.mpt,0.4491014165284857
60,0.69653499,20171123_Pd_066_05_CA_C01.mpt,0.40952641848991256
60,0.84697358,20171203_Pd_069_05_CA_C01.mpt,2.1946075025591085
60,0.99736269,20171203_Pd_070_05_CA_C01.mpt,5.309542938453392
60,0.8968322999999999,20171212_AW_Pd_073_05_CA_C01.mpt,4.941431543521133
60,0.700225766,20171213_AW_Pd_074_05_CA_C01.mpt,0.7112207332142939
60,0.7997018539999999,20171214_AW_Pd_076_05_CA_C01.mpt,1.5688257518981898
60,0.8500040799999999,20171214_AW_Pd_077_05_CA_C01.mpt,3.039131308697222
60,0.9999897299999999,20171214_AW_Pd_078_05_CA_C01.mpt,7.262962340909249
60,0.9001198699999999,20171219_AW_Pd_079_05_CA_C01.mpt,3.6079712000676865
60,0.95004761,20171219_AW_Pd_080_05_CA_C01.mpt,7.38380478634286
60,0.94969058,20180103_POR_Pd_081_03_CA_C01.mpt,8.568099021474664
60,0.79976505,20180104_POR_Pd_084_03_CA_C01.mpt,2.151697498512214
60,0.84951183,20180104_POR_Pd_085_03_CA_C01.mpt,2.9539102821317416
60,0.6992385289999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.4104058685947887
60,0.80016487,20180226_POR_Pd_113_03_CA_C01.mpt,1.2331496810900529
60,0.89941114,20180227_POR_Pd_114_03_CA_C01.mpt,4.543894785100351
60,0.9495156299999999,20180227_POR_Pd_115_03_CA_C01.mpt,8.056682050792027
60,1.09972249,20180313_Pd_118_03_CA_C01.mpt,20.395259665000594
60,1.1995000400000002,20180313_Pd_119_03_CA_C01.mpt,10.31816411898428
600,1.0967857099999998,20171122_Pd_064_05_CA_C01.mpt,1.0911336458710366
600,0.697140263,20171123_Pd_065_05_CA_C01.mpt,0.2977778282759197
600,1.1874616599999999,20171123_Pd_066_05_CA_C01.mpt,0.8025941954508031
600,0.84723447,20171203_Pd_069_05_CA_C01.mpt,1.8239224886795167
600,0.9968561699999999,20171203_Pd_070_05_CA_C01.mpt,1.3005075571090259
600,0.89638442,20171212_AW_Pd_073_05_CA_C01.mpt,4.603150774343484
600,0.699679743,20171213_AW_Pd_074_05_CA_C01.mpt,0.42108898892425195
600,0.799410797,20171214_AW_Pd_076_05_CA_C01.mpt,1.4013427718170128
600,0.84941576,20171214_AW_Pd_077_05_CA_C01.mpt,2.8534290049425555
600,1.00016318,20171214_AW_Pd_078_05_CA_C01.mpt,1.8575763808354846
600,0.89992301,20171219_AW_Pd_079_05_CA_C01.mpt,2.6589589360513872
600,0.94972853,20171219_AW_Pd_080_05_CA_C01.mpt,3.749238726837632
600,0.95005555,20180103_POR_Pd_081_03_CA_C01.mpt,5.281302872534615
600,0.79994735,20180104_POR_Pd_084_03_CA_C01.mpt,1.4323451379905319
600,0.84965031,20180104_POR_Pd_085_03_CA_C01.mpt,2.7272040354674787
600,0.6996179889999999,20180226_POR_Pd_112_03_CA_C01.mpt,0.2526051046206405
600,0.799920737,20180226_POR_Pd_113_03_CA_C01.mpt,0.7052494509208347
600,0.90004384,20180227_POR_Pd_114_03_CA_C01.mpt,3.622906313159111
600,0.94988879,20180227_POR_Pd_115_03_CA_C01.mpt,3.8761620487154778
600,1.10006373,20180313_Pd_118_03_CA_C01.mpt,2.371358830238255
600,1.1996302399999998,20180313_Pd_119_03_CA_C01.mpt,2.603856824641755
3300,1.09607987,20171122_Pd_064_05_CA_C01.mpt,0.48426300452067805
3300,0.696764733,20171123_Pd_065_05_CA_C01.mpt,0.1739848485602
3300,1.187685,20171123_Pd_066_05_CA_C01.mpt,0.38216797637407385
3300,0.84683645,20171203_Pd_069_05_CA_C01.mpt,1.7178085296144985
3300,0.99652411,20171203_Pd_070_05_CA_C01.mpt,0.9031737135655777
3300,0.89717625,20171212_AW_Pd_073_05_CA_C01.mpt,4.550183996336676
3300,0.699376796,20171213_AW_Pd_074_05_CA_C01.mpt,0.34896483580336884
3300,0.799776717,20171214_AW_Pd_076_05_CA_C01.mpt,0.9871959727649344
3300,0.8497455399999999,20171214_AW_Pd_077_05_CA_C01.mpt,1.6288989543996106
3300,0.999992,20171214_AW_Pd_078_05_CA_C01.mpt,1.1724446451755537
3300,0.89978847,20171219_AW_Pd_079_05_CA_C01.mpt,2.0898932154701715
3300,0.94978999,20171219_AW_Pd_080_05_CA_C01.mpt,1.871126051444504
3300,0.94976197,20180103_POR_Pd_081_03_CA_C01.mpt,5.810277078316802
3300,0.799541376,20180104_POR_Pd_084_03_CA_C01.mpt,0.9134622095904156
3300,0.84952408,20180104_POR_Pd_085_03_CA_C01.mpt,2.2299657180118593
3300,0.699841988,20180226_POR_Pd_112_03_CA_C01.mpt,0.1554455689749294
3300,0.800085268,20180226_POR_Pd_113_03_CA_C01.mpt,0.19870470687009592
3300,0.89987209,20180227_POR_Pd_114_03_CA_C01.mpt,2.985263418012469
3300,0.9497549399999999,20180227_POR_Pd_115_03_CA_C01.mpt,2.8515049218063417
3300,1.10009383,20180313_Pd_118_03_CA_C01.mpt,1.116860541984985
3300,1.2002327,20180313_Pd_119_03_CA_C01.mpt,1.2992672391186155
