,EvsRHE/V,filename,i/mAcm^-2_ECSA
0,0,0,0
250,1.09654929,20171122_Pd_064_05_CA_C01.mpt,2.845098325
250,0.697028398,20171123_Pd_065_05_CA_C01.mpt,0.447012691
250,1.18801795,20171123_Pd_066_05_CA_C01.mpt,1.807243237
250,0.8474589,20171203_Pd_069_05_CA_C01.mpt,2.32746512
250,0.99669336,20171203_Pd_070_05_CA_C01.mpt,2.965457369
250,0.8966956,20171212_AW_Pd_073_05_CA_C01.mpt,4.58337158
250,0.70021009,20171213_AW_Pd_074_05_CA_C01.mpt,0.558720257
250,0.799913063,20171214_AW_Pd_076_05_CA_C01.mpt,1.688186342
250,0.84965067,20171214_AW_Pd_077_05_CA_C01.mpt,3.568099416
250,1.00005184,20171214_AW_Pd_078_05_CA_C01.mpt,3.634186236
250,0.89980633,20171219_AW_Pd_079_05_CA_C01.mpt,3.160911679
250,0.95013636,20171219_AW_Pd_080_05_CA_C01.mpt,5.461730812
250,0.94997579,20180103_POR_Pd_081_03_CA_C01.mpt,6.638277602
250,0.799573272,20180104_POR_Pd_084_03_CA_C01.mpt,1.812410017
250,0.85003462,20180104_POR_Pd_085_03_CA_C01.mpt,5.304799056
250,0.699790635,20180226_POR_Pd_112_03_CA_C01.mpt,0.330801387
250,0.799305021,20180226_POR_Pd_113_03_CA_C01.mpt,0.992287472
250,0.90005244,20180227_POR_Pd_114_03_CA_C01.mpt,4.143688852
250,0.950076,20180227_POR_Pd_115_03_CA_C01.mpt,5.535097202
3000,1.09684826,20171122_Pd_064_05_CA_C01.mpt,0.630702157
3000,0.696846881,20171123_Pd_065_05_CA_C01.mpt,0.227305389
3000,1.18787204,20171123_Pd_066_05_CA_C01.mpt,0.494073103
3000,0.84682757,20171203_Pd_069_05_CA_C01.mpt,2.152230287
3000,0.99700494,20171203_Pd_070_05_CA_C01.mpt,1.090426942
3000,0.89693865,20171212_AW_Pd_073_05_CA_C01.mpt,4.668730067
3000,0.699745354,20171213_AW_Pd_074_05_CA_C01.mpt,0.376771282
3000,0.799453153,20171214_AW_Pd_076_05_CA_C01.mpt,1.100868869
3000,0.84963469,20171214_AW_Pd_077_05_CA_C01.mpt,1.795977456
3000,0.99962033,20171214_AW_Pd_078_05_CA_C01.mpt,1.237788793
3000,0.89993301,20171219_AW_Pd_079_05_CA_C01.mpt,2.31899099
3000,0.95002814,20171219_AW_Pd_080_05_CA_C01.mpt,2.113694112
3000,0.94960552,20180103_POR_Pd_081_03_CA_C01.mpt,6.556861469
3000,0.799374997,20180104_POR_Pd_084_03_CA_C01.mpt,1.030534907
3000,0.85047339,20180104_POR_Pd_085_03_CA_C01.mpt,4.296724655
3000,0.699681909,20180226_POR_Pd_112_03_CA_C01.mpt,0.176532953
3000,0.79995007,20180226_POR_Pd_113_03_CA_C01.mpt,0.238169349
3000,0.900051,20180227_POR_Pd_114_03_CA_C01.mpt,3.21791226
3000,0.94977546,20180227_POR_Pd_115_03_CA_C01.mpt,3.126851368
