,E_grad,Ewe/V,I_grad,i/mAcm^-2_geom,time_stamp
0,1.1890349948149029e-07,-0.012316157086666665,-3.301006967883098e-05,-0.017593832911093114,3.358600086721708
2,-2.7489442795619577e-08,-0.0502192768933333,-1.3425542603579622e-05,-0.2579486550583093,603.3587849294418
4,5.7675554942432385e-08,-0.10015043159166676,1.4543548085315285e-05,-0.557141644784705,1203.358969772162
5,-6.40203226690372e-08,-0.15039571138333332,1.1082689279484758e-05,-0.8584620584099127,1803.359154614882
6,-1.2425348581081156e-08,-0.20038889450751257,1.414700200930399e-05,-1.162270186950088,2404.359139432345
7,1.786053608700145e-07,-0.25031104161666673,3.530481915866059e-05,-1.4776479525427053,3003.359524300322
8,-4.815129460637842e-08,-0.30038552948333325,5.363757838960727e-05,-1.792622289169725,3603.359709143042
9,3.4329670749233144e-09,-0.3503069467333332,2.5092719940597914e-05,-2.1211605657420316,4203.359895398069
10,2.425047357102606e-08,-0.4003611052333334,3.074846595978017e-05,-2.494064885469901,4803.360088133748
11,-9.451309405632506e-08,-0.35028955018333313,3.17854900664557e-05,-2.126071360880754,5403.360280869441
12,5.0673404152528084e-08,-0.3003759799166665,1.93528063026983e-05,-1.7859531749170052,6003.36047360512
13,-1.5994726108830516e-07,-0.25032739079999994,-6.171609038311118e-05,-1.4749082803461078,6603.360666340799
14,-2.895383191290772e-08,-0.20034630168333348,-1.9906534721957948e-05,-1.1788922071590335,7203.360859076478
15,1.0771350733340673e-07,-0.1503911101166666,1.0734403064646017e-06,-0.8629208875713772,7803.361051812157
16,-1.4819798700721195e-07,-0.10010128883666666,-2.6318196664475257e-05,-0.5718213316758148,8403.361244547865
17,-3.049836538184128e-08,-0.01253209549166666,-5.426825055879394e-05,-0.04286821423677281,9003.361437283544
18,-1.2931697461277278e-07,0.049713246608333324,-6.718824291889195e-05,0.33381623760457285,9603.361630019237
19,2.814387101941712e-07,0.09968114364833336,-6.701069095551184e-05,0.640646682888299,10203.3618227549
20,-3.280817488617044e-07,0.1495461178500001,-4.0494076699248165e-05,0.9540333989750607,10803.36201549059
21,3.1482064227289655e-07,0.1996774094999999,-8.899367956876914e-05,1.293448298683937,11403.36220822627
22,-1.15780487695452e-07,0.14954275371666664,-1.8653563838932103e-05,0.9242621643607758,12003.36240096195
1,2.744675537495777e-07,0.04975813432833337,4.3087739157550416e-05,0.294831078857178,13203.36278643334
3,-1.393627503454364e-07,-0.012566051601666673,2.8223080266318617e-05,-0.07203044435580926,13803.362979169
