,E_grad,Ewe/V,I_grad,i/mAcm^-2_geom,time_stamp
0,-1.1175641368072586e-07,-0.6003070236999996,-0.018368456937056774,531.6531820892448,4.295400060218526
2,-1.8219284402702582e-07,-0.550411387233333,0.036044658375760694,602.629977119699,603.3195849275944
4,-4.1080668484060664e-08,-0.5003925709333337,0.009790614223246391,671.0589878618471,1203.319769770314
5,7.432283721876197e-08,-0.4503760554333338,0.0125685249079068,704.5461859965043,1803.319954613035
6,-1.1353198740135268e-07,-0.4003355060166665,-0.003149304816992359,729.3910316996976,2403.320139455755
7,2.1186591331351227e-08,-0.3503221164166667,0.04169553241764368,746.2268137094045,3003.320324298475
8,-1.1459929272204645e-07,-0.30033059336666684,-0.03743412064828884,756.3688117422388,3603.320509141195
9,1.1943969488963218e-07,-0.4003374564333329,-0.024768043221011345,738.4659974308925,4203.320695395727
10,-8.051146711778033e-08,-0.4503789059499996,0.0004523499673684696,723.2972005213051,4803.320888131406
11,3.2221867673010754e-09,-0.5003746300333333,0.00807009991717139,703.0592287422138,5403.321080867085
12,-2.3987546366969243e-08,-0.550439894833333,-0.012659176508906059,663.2915868616678,6003.321273602764
13,3.2455268046451824e-08,-0.6003266464500004,-0.042997450471301456,604.9181608272422,6603.321466338442
1,-4.0351455075872564e-08,-0.7004164911166668,-0.0691051875986864,361.3551292963528,7803.321851809815
3,2.1217099227208082e-07,-0.8717931136000008,-0.007754702986647957,1.1564657658399622,8403.322244545474
