,EvsRHE/V,filename,i/mAcm^-2_ECSA
0,0,0,0
100,0.790009759,20180209_Pd_102_03_CA_C01.mpt,0.090517343
100,0.88988361,20180216_Pd_103_03_CA_C01.mpt,1.001742669
100,0.88960649,20180222_Pd_106_03_CA_C01.mpt,0.643956005
100,0.89977145,20180222_Pd_107_03_CA_C01.mpt,0.254274804
500,0.790060102,20180209_Pd_102_03_CA_C01.mpt,0.049400427
500,0.8897651,20180216_Pd_103_03_CA_C01.mpt,0.711234876
500,0.88975994,20180222_Pd_106_03_CA_C01.mpt,0.534391187
500,0.89984447,20180222_Pd_107_03_CA_C01.mpt,0.09373786
1000,0.789531193,20180209_Pd_102_03_CA_C01.mpt,0.036520094
1000,0.88988954,20180216_Pd_103_03_CA_C01.mpt,0.548024634
1000,0.88966027,20180222_Pd_106_03_CA_C01.mpt,0.442043764
1000,0.89954793,20180222_Pd_107_03_CA_C01.mpt,0.066648613
